,sex,age,generation,incomelevel
2328,0,2,0,1
11523,1,4,1,2
3272,0,4,5,2
4410,1,3,3,1
7325,0,4,1,0
7268,1,4,5,1
6994,0,3,4,2
6935,0,5,1,2
2992,0,1,0,0
10090,0,1,0,0
8892,0,4,5,0
6033,0,3,3,2
7131,1,3,4,0
8557,0,1,2,2
11309,0,1,0,0
1080,0,5,5,0
9863,0,2,5,0
6909,0,1,0,2
2128,1,3,4,0
695,0,5,5,2
5107,0,1,0,0
4940,1,3,3,2
5862,0,3,4,2
12705,0,0,4,0
4171,0,3,4,2
9514,0,0,4,2
6144,0,3,2,0
6015,0,3,4,2
1673,0,4,5,0
4917,1,2,0,2
2958,0,1,0,0
5707,0,4,5,2
4095,1,0,4,0
12853,0,3,4,0
10880,1,5,5,0
1539,1,0,2,0
8252,0,3,2,2
7320,1,1,0,0
690,0,3,3,2
11327,0,3,2,0
9389,0,2,0,2
2308,0,1,2,1
7575,1,1,4,0
2552,1,3,4,2
634,1,3,4,2
6924,0,3,2,2
10186,0,2,0,0
440,0,5,5,0
7118,0,3,4,0
11256,0,2,2,2
4537,0,4,5,2
2753,0,0,4,2
8771,1,3,4,0
9417,1,1,2,2
5621,1,3,3,2
12251,0,5,5,2
10976,0,0,4,0
5493,1,4,5,2
121,0,2,0,2
4381,0,5,5,1
985,0,3,4,0
11325,0,0,2,0
9865,0,0,2,0
2035,1,3,4,2
4588,0,5,5,2
6214,1,3,4,0
9779,0,3,4,0
6157,0,0,2,0
12009,1,3,4,0
9902,0,1,0,0
12473,0,4,5,0
11135,0,5,5,2
9681,1,1,2,1
8952,1,3,3,0
8642,0,4,0,1
4349,0,4,5,1
128,0,0,4,2
8341,0,4,5,2
6560,1,3,4,0
7364,1,3,4,0
11677,0,3,3,0
12129,1,3,3,2
11555,0,1,2,2
6798,0,1,2,0
9682,1,2,0,1
9749,0,0,2,0
1156,0,5,1,0
2242,0,0,2,1
9538,0,2,2,2
12989,1,3,4,0
6533,0,0,2,0
11951,1,3,3,2
13024,1,3,4,1
442,1,1,2,0
8426,0,1,0,2
5169,0,1,0,0
7072,1,5,5,2
9091,0,5,5,0
7721,0,0,4,0
9542,0,5,5,2
3166,0,1,0,2
8423,1,2,5,2
2351,1,2,0,1
2866,0,5,1,0
3779,0,0,4,0
3796,1,3,4,0
4557,0,5,5,2
2216,1,5,1,1
12889,0,0,4,0
5022,1,3,4,0
10482,0,0,4,2
12016,0,2,0,0
221,1,0,2,0
9102,1,1,2,0
3670,1,3,4,2
8691,0,0,4,2
7220,1,3,4,1
7004,0,1,2,2
7988,1,0,2,0
12756,0,1,0,0
11482,0,0,4,0
6298,0,2,2,0
7123,1,3,4,0
5449,1,4,5,2
6353,0,0,2,0
3594,0,0,2,0
9708,0,4,5,1
1570,0,5,1,0
6893,1,4,1,2
189,0,4,5,2
4754,0,3,4,0
6340,0,2,0,0
4358,0,2,0,1
12829,0,3,4,0
4078,0,1,4,0
1394,1,5,1,2
8416,0,0,2,2
12758,1,3,2,0
8107,0,1,2,0
9615,1,2,0,1
8531,0,5,1,2
8672,0,5,5,2
3482,0,4,5,2
9427,0,5,1,2
12028,1,3,4,0
1530,1,5,1,0
4743,0,0,4,0
1965,0,1,4,0
11352,0,3,4,0
3663,0,0,4,0
11492,1,3,4,1
12314,0,1,4,2
5191,1,0,2,0
9310,1,0,4,2
3800,1,2,0,0
7331,1,1,0,0
8482,0,1,0,2
2599,0,1,2,2
6292,1,3,3,0
3312,0,2,0,2
11652,0,0,2,0
7905,0,0,4,2
453,1,0,4,0
12320,1,5,5,2
983,0,1,2,0
4802,1,3,2,2
341,1,2,0,0
10874,0,1,4,0
11039,0,3,3,0
2478,0,0,2,2
8579,0,2,0,2
441,1,0,4,0
3781,0,4,5,0
9641,0,1,2,1
11630,1,3,4,0
2076,0,3,2,0
9455,0,1,2,2
11658,0,3,4,0
13006,0,3,3,0
5598,1,1,4,2
5648,0,0,4,2
10213,0,5,5,0
11585,1,3,4,2
3049,0,2,0,0
8487,0,5,1,2
8008,1,3,2,0
5371,0,4,0,0
11140,0,3,4,2
5543,1,3,4,2
